"","X_STATE","FMONTH","IDATE","IDAY","DISPCODE","SEQNO","X_PSU","NUMADULT","HHADULT","GENHLTH","PHYSHLTH","PERSDOC2","CHECKUP1","SLEPTIM1","CVDCRHD4","HAVARTH4","DIABETE4","LASTDEN4","RMVTETH4","MARITAL","EDUCA","RENTHOM1","CPDEMO1B","EMPLOY1","CHILDREN","INCOME2","WEIGHT2","HEIGHT3","DECIDE","SMOKE100","SMOKDAY2","ALCDAY5","AVEDRNK3","DRNK3GE5","MAXDRNKS","FLUSHOT7","FLSHTMY3","SHINGLE2","PNEUVAC4","FALL12MN","SEATBELT","DRNKDRI2","HOWLONG","HADPAP2","LASTPAP2","HPVTEST","PCPSAAD3","PCPSADI1","PCPSARE1","PSATEST1","COLNSCPY","COLNTEST","SIGMSCPY","BLDSTOL1","STOOLDNA","VIRCOLON","HIVTST7","PDIABTST","PREDIAB1","MARIJAN1","SOFEMALE","TRNSGNDR","ACEDEPRS","ACEDRINK","ACEDRUGS","ACEDIVRC","ACEPUNCH","ACEHURT1","ACESWEAR","ACETOUCH","QSTVER","X_STRWT","X_RAWRAKE","X_IMPRACE","X_LLCPWT","X_PHYS14D","X_HCVU651","X_CASTHM1","X_ASTHMS1","X_EXTETH3","X_ALTETH3","X_DENVST3","X_PRACE1","X_HISPANC","X_RACEG21","X_AGEG5YR","HTIN4","WTKG3","X_BMI5CAT","X_CHLDCNT","X_SMOKER3","X_RFSMOK3","DRNKANY5","X_FLSHOT7","X_PNEUMO3","X_RFSEAT2","X_RFMAM22","X_RFPSA23"
"X_STATE",1,0.0128731938962248,0.00701734608505235,-0.0084914236299605,-0.00439091128496808,-0.0482049234119455,-0.0482049234119455,0.0387629869605396,0.0146840343843913,0.0154771096019632,-0.00421404163182739,0.0112138125956141,0.0135270607796472,-0.00839263833571641,-0.0183770586889642,-0.0121366902959063,0.00423295501809918,0.00477699051723258,-0.0100301230142179,-0.0151951160628287,-0.0194259166060183,0.0265768872867065,-0.00602937283733136,0.0162519963897654,0.0133568335715246,-0.0179028100762821,-0.0133489024497903,-0.0283848862529421,0.00315289155086574,0.0172319047120398,-0.014372241047601,0.0198218159881535,0.0222305148189096,-0.0259554455553952,0.0166122642413451,0.00659258591472847,0.0194055137892085,0.0223093912086108,0.0123670952262867,-0.0201858504208739,-0.00119179537981765,0.00557979225735182,-0.0157766735355542,-0.0165249868800603,-0.0154787174922663,-0.0197089637251099,0.00493451624499212,0.0205936349725179,0.0108910653404897,0.033639663755987,0.025116804496709,0.00195897467056533,-0.000247383927441709,0.0137523644686267,0.00148832619959923,0.0206062999864589,-0.00353096744391026,0.0581776903538047,0.0245866642815499,-0.00345275794927079,-0.0185614258031856,-0.00688992633040205,0.005207169108734,0.0104946068630101,0.0192127258169469,0.012997475666129,-0.0180070621193593,-0.0214641885419284,-0.00948795237898857,-0.0151047363561676,-0.0150677018168564,0.0603713634896039,0.000383357517489876,-0.0484291819800356,0.0598746326116312,0.026313780001069,0.0122047682438197,-0.00777229207018574,0.0139748934056606,-0.00294607822387598,0.0462245620885835,0.0134085095047107,-0.0158452954926494,-0.125112850238159,0.0485863485274119,-0.0493981839355206,-0.0241891620493496,-0.0110984949907712,0.00301956741427004,0.0097857579106143,-0.0109383106842862,-0.00354468151350669,0.0235322715852482,0.0271944062246428,0.0308313776756701,-0.00566327778237094,-0.0195181596884613,-0.0163386636457701
"FMONTH",0.0128731938962248,1,0.851646214703778,-0.0164713453353973,0.0385203455144213,0.278071575299473,0.278071575299473,-0.010692432605128,0.0172089861472316,0.0117208077794327,0.02566769290691,0.0195709698804071,0.0308153430345529,0.00187138243323702,-0.0150190091623162,0.00129239531859822,0.00130416438748698,0.0325929922963967,0.0019102048214636,0.0152471224247109,-0.00648674113890439,0.000683890769352042,-0.0063230231102833,0.00327709003781775,0.00197326486316622,-0.0051939951786178,0.012345601891728,-0.035275463993011,0.00714626460270193,0.0152260175775862,0.0127144177173817,0.0324031275395701,0.0140693862117128,-0.0244610834358519,0.0209223369033961,0.00531904004413353,-0.0361677821499177,-0.0184377648925285,0.0131893307369343,0.00268614848499752,0.000798816306571807,-0.0207407512836612,-0.0240454054757811,-0.00492105068358996,-0.00643438630742041,0.00252481896905709,0.0137859113150928,-0.00567080735171408,0.00793379704198799,0.00878579628077062,-0.0141612349959188,0.0030979284674195,0.00619025717778223,-0.0243137310380928,-0.0206818072311077,-0.0216020840735012,0.0236589717589949,0.00946148183850245,0.00138315682103479,-0.00299569295578232,0.0255631104455496,0.0124479225766664,-0.0018224683041346,-0.0175281401195042,0.0349790513194575,0.00714151719523373,-0.0138533046648104,0.000938428687019347,0.00579254470166928,-0.00156061564887006,-0.000522347509202543,-0.0278984943577862,-0.0209389257071374,-0.0124568341344185,-0.0267134357133483,-0.0236091434211245,0.00462473905908419,-0.00105458935308467,-0.00740029318232028,0.0103115624393721,-0.00124886943266152,0.0474734717202957,0.00795233703982862,-0.0210098725019225,0.0143485065369169,-0.007883410711896,-0.0262698381791753,0.0142837261011395,0.0280064421821908,-0.00671647114154451,-0.020354237571925,-0.0204701846649429,0.0282320183239351,-0.00753936234059948,0.00626719447810536,0.0226050243692711,-0.0197843215843107,-0.0235032346810974
"IDATE",0.00701734608505235,0.851646214703778,1,-0.00873944750072331,0.0538740727774,0.264036263876118,0.264036263876118,-0.000466457709785085,0.00341377183672782,0.00862463579394583,0.0225501543449537,0.0219623594020638,0.0531834676270445,0.0060597385536694,-0.00975855662594484,0.0110456506309664,0.0148097723714247,0.028637918321004,0.00187177786298143,0.0165236126375434,-0.0152714095974752,0.00934614830913513,-0.0137354059504748,0.0065216702740228,-0.00296586342453522,0.00618295875995828,-0.000811624253313806,-0.0244572933091551,0.00756418329593598,0.0136933543436758,-0.00617776300597655,0.0315129198051468,0.0119503268122523,-0.0314274956950263,0.0274858857978102,0.0268544969142228,-0.0199916849424429,-0.0101163596272493,0.0245190400418023,-0.0121223625330332,-0.00276727190943491,-0.0247591756895217,-0.0242642250239691,0.00496890146221071,-0.0142694716726846,0.00380926338853006,0.0104333543632788,-0.0187233581429385,0.00141232554566803,0.0173674205633794,0.0150767212974048,0.00383135206267623,0.015669983369969,-0.00521142659697137,-0.00270686862210426,-0.00564332213749431,0.0325214256665195,0.0158975704488146,-0.00195391912266503,-0.0164181248157815,0.0275849872372347,0.00773264107409821,0.0101418404123547,0.00904450804260787,0.0361111192547597,0.0193153599994495,-0.0168349521796213,0.0121956697949032,0.00359062925804735,0.00656654301032098,0.0370302299140944,-0.0223987913668449,-0.031307231653861,-0.0136880106662004,-0.0326981390994579,-0.0219955764611586,0.00589851010558059,0.0142901142802138,-0.0248721782828028,0.00879134777710209,0.0144290773995217,0.0514738318458914,0.0107882549324262,-0.0347723378456063,0.0227080997090678,-0.0190842280891817,-0.0205004536212282,0.00188757202929021,0.0125984197999923,0.00841862348006439,0.00253004349004126,-0.0089522059901121,0.0304201917932903,0.0180676216802483,0.0293324729192031,0.0199946117379197,-0.00469245044036039,-0.0217708528935884
"IDAY",-0.0084914236299605,-0.0164713453353973,-0.00873944750072331,1,0.0263162652767568,0.000768682767950319,0.000768682767950319,-0.00858625458007132,0.00581939811301845,0.0238365283854341,0.00237731561150976,-0.0108640013644228,0.0162913106970157,0.0126659285772685,0.0180404138288259,0.00200235897281783,-0.0201854405626943,0.011612015565726,-0.00780421697215258,0.005379615684021,-0.0132361064852408,0.00994868319025658,0.0185006852016368,-0.00693789464630069,-0.0141559075096209,0.0126646297599985,0.0113628942626905,0.0102533636295937,0.00993550749902504,0.0127000727282364,-0.00143247812595885,-0.0048716468002689,-0.0126555077094456,-0.00583933217302804,0.00869746530341003,0.00633646745917428,0.0233710294323726,0.00247737865759939,0.00789845664460421,0.000453726525613425,0.0143979554393831,0.00671836672838922,0.00783231856599659,0.0257342677707301,-0.0136329881768229,0.000595705942064376,0.00392244238911495,-0.0357059780417746,-0.0130568543050053,-0.000963489269682705,0.0176003437420311,-0.00600093284531317,0.0202669736188334,-0.00226064276603392,-0.013605926532907,0.00418243210329632,0.0429257690283303,0.0147761982972419,-0.000583303309103243,-0.00706731051807761,-0.00511945538999257,-0.00613875249443779,0.00868429004578368,-0.000589055271850967,-0.00461736058173639,0.0135126597600044,0.0013271384505275,0.00408474781571964,0.00309417256807482,-0.00508820121759401,0.0105974047366769,-0.000542067675710458,0.000633250831199224,0.0206516163106032,0.00359020194700671,-0.00251811890478064,-0.00554257979257464,-0.00917664665783346,0.0124670810050285,-0.013152493336816,0.0136876478078763,-0.0101753601699394,-0.0129631488951214,0.00530718140796976,0.000678142219530457,0.00255162755156666,0.00414588147654663,0.0132243913175321,0.0127364964118565,-0.0315377801843177,0.017930968968527,-0.00380074529119902,-0.000457225577166365,0.0299579387171109,0.0102984674523906,0.00491569488012552,0.0215177301245137,-0.00962952639732501
"DISPCODE",-0.00439091128496808,0.0385203455144213,0.0538740727774,0.0263162652767568,1,0.0284171353828274,0.0284171353828274,-0.00219611956481995,-0.00700486425008871,-0.0150005882374041,-0.0089062107949608,0.0610353418658951,0.0258179834558786,-0.00256472223454135,0.0347506769648771,0.0705510256061525,0.00811765175086573,0.0179546368506863,-0.00504429319929386,-0.00525866548051105,-0.034212856937682,0.0392084779402378,-0.0064951130294797,-9.0929352231481e-05,-0.162777513891212,0.0795781767009866,-0.0241651138639453,-0.00484142373060149,0.167360991691363,0.0515076866551322,-0.0590563185266189,-0.0171152306281928,0.09779104041354,-0.0800205319728857,0.113888734098998,0.11663451761316,0.261250763022945,0.104888127838715,0.358618527417659,-0.0972870861037612,0.0846090641624483,-0.0542913327602429,0.103777728509767,0.271646866124362,-0.0821157925572284,0.0633601827929112,0.0997205464765826,-0.163843806663883,0.0619645962966897,0.199141639415578,0.324995748912796,-0.0113620550055413,0.395190229780407,0.24420288979826,0.284695899598627,0.324704802434322,0.0909712524441177,0.18134898001893,-0.0515491559840776,-0.259507019849516,0.442869024288691,0.377133682783989,0.42508117245134,0.296026775050644,0.145125288510221,0.534525810806089,0.244373805996717,0.415579082134619,0.29520770883782,0.22309916917622,0.0902409409827922,0.049332077529476,-0.0602485117063119,0.0431456296649605,0.0433734938078893,0.00291417741443437,0.0307933743766517,0.00649444417665649,-0.00801123717924993,-0.0309560923169312,0.139607013159757,0.0163943664485411,0.0154829522520977,0.00178669071710614,0.0251000279021591,-0.0427825330679398,0.0774271656945096,-0.000776585716918722,-0.0291348343008647,0.0110075695578166,0.370538878542852,-0.0296794684672723,0.0952734055862821,0.297303995867488,0.195520651182162,-0.00849090989922102,0.257595183603309,0.181540230428075
"SEQNO",-0.0482049234119455,0.278071575299473,0.264036263876118,0.000768682767950319,0.0284171353828274,1,1,0.124050272635417,-0.138920883064792,-0.0586990585499622,0.0397488337639414,0.0665044428138898,0.0631301537895699,-0.0181414502498047,0.0482646250315924,0.107552801757817,0.0692065548537291,0.0436160148870221,0.0461680580207382,-0.119213556895532,-0.0035606969273615,0.0973441633220411,-0.0525950950772012,-0.036163999399772,-0.0101897997298327,0.0310006270780944,0.0596485937704513,0.0571738533871346,0.00486392893163026,0.0356622417891629,-0.0777389136610951,-0.0388341951780812,-0.0444034385722595,-0.0525169085787742,-0.0413396594854404,0.071543429171421,-0.00665320046635088,0.0954858452501633,0.120344935535514,-0.0924835804990787,0.0196622606622362,0.0263984694819355,-0.047758318072333,0.0332254061877513,-0.147815608391238,-0.0804769154558796,-0.0191588165531602,-0.050119500120885,-0.0455788933725606,0.0281454636019624,0.132022474366763,-0.067575914301082,0.0353917654001404,0.0989662712272729,0.0391820244398586,0.0149152687125976,-0.0605229989832038,0.0200975395833022,0.0677798119817989,-0.0565365841658632,-0.0867123648777185,-0.059139131207558,-0.0238739631880028,0.0615405768740559,0.0114054423108697,-0.0536088100306951,-0.0871756827602952,-0.0383899638741305,-0.0579049596896956,-0.0782908585690936,0.621700562556843,0.0948789002050254,-0.337148392407455,0.000818726946023099,0.0207088284969918,-0.0302705995263958,0.0663645023310368,0.00546369808894031,-0.00739623792054258,-0.0542560207546363,0.14814759063623,0.0415022520868612,-0.0115111281444851,-0.0485893111397067,0.0249416172430537,-0.208586135539737,0.0682198264288374,0.0607833782457668,0.0182896668664016,0.0949070167658356,0.0286350576140964,0.0303497301941818,-0.0326737488204358,0.166873497172926,0.186030406583147,0.027913456150666,0.0712755066097584,-0.028265269930231
"X_PSU",-0.0482049234119455,0.278071575299473,0.264036263876118,0.000768682767950319,0.0284171353828274,1,1,0.124050272635417,-0.138920883064792,-0.0586990585499622,0.0397488337639414,0.0665044428138898,0.0631301537895699,-0.0181414502498047,0.0482646250315924,0.107552801757817,0.0692065548537291,0.0436160148870221,0.0461680580207382,-0.119213556895532,-0.0035606969273615,0.0973441633220411,-0.0525950950772012,-0.036163999399772,-0.0101897997298327,0.0310006270780944,0.0596485937704513,0.0571738533871346,0.00486392893163026,0.0356622417891629,-0.0777389136610951,-0.0388341951780812,-0.0444034385722595,-0.0525169085787742,-0.0413396594854404,0.071543429171421,-0.00665320046635088,0.0954858452501633,0.120344935535514,-0.0924835804990787,0.0196622606622362,0.0263984694819355,-0.047758318072333,0.0332254061877513,-0.147815608391238,-0.0804769154558796,-0.0191588165531602,-0.050119500120885,-0.0455788933725606,0.0281454636019624,0.132022474366763,-0.067575914301082,0.0353917654001404,0.0989662712272729,0.0391820244398586,0.0149152687125976,-0.0605229989832038,0.0200975395833022,0.0677798119817989,-0.0565365841658632,-0.0867123648777185,-0.059139131207558,-0.0238739631880028,0.0615405768740559,0.0114054423108697,-0.0536088100306951,-0.0871756827602952,-0.0383899638741305,-0.0579049596896956,-0.0782908585690936,0.621700562556843,0.0948789002050254,-0.337148392407455,0.000818726946023099,0.0207088284969918,-0.0302705995263958,0.0663645023310368,0.00546369808894031,-0.00739623792054258,-0.0542560207546363,0.14814759063623,0.0415022520868612,-0.0115111281444851,-0.0485893111397067,0.0249416172430537,-0.208586135539737,0.0682198264288374,0.0607833782457668,0.0182896668664016,0.0949070167658356,0.0286350576140964,0.0303497301941818,-0.0326737488204358,0.166873497172926,0.186030406583147,0.027913456150666,0.0712755066097584,-0.028265269930231
"NUMADULT",0.0387629869605396,-0.010692432605128,-0.000466457709785085,-0.00858625458007132,-0.00219611956481995,0.124050272635417,0.124050272635417,1,0.0690834682787028,-0.120747278681734,0.062031081906403,0.11228891156233,0.102665180314975,-0.0684270814844218,0.0956697994503466,0.185697822131373,0.0859264793171165,0.0295546769327696,0.103434401021357,-0.379078755587839,0.0115437412727443,0.149391779700262,0.0706267797817465,-0.0078126876902672,-0.0196932692264532,0.0791667547141707,0.0771886267513138,0.0504143352761049,0.0094126020916467,0.0773873133242067,-0.14217294796146,-0.101640522631568,-0.0639800790614044,-0.0443712655842009,-0.0533447303100261,0.143128886170294,0.0350004980071501,0.236135820382721,0.20192920814086,-0.255959137825417,0.0275458786671309,0.0779303533607365,-0.0633758932663279,0.0384626810577925,-0.297751508436054,-0.114391466728825,0.0105566407078296,-0.0549958830125694,-0.0385807045115443,0.0958844284884134,0.267917864284095,-0.0641815189499508,0.0749138886356162,0.248693551502391,0.0764837922455603,0.0526975147316868,-0.119917087036334,0.0461419294250258,0.0723059883905834,-0.124639550817881,-0.0442466143351019,-0.0338458059186156,-0.111327781666911,-0.0405471881188836,-0.0801167126519968,-0.120455947558114,-0.00840557313435866,-0.0636757518750319,-0.00952022488514982,-0.0397427935753922,0.225679343411363,0.0634399383675462,0.287676394865847,0.056517428045782,0.111878064415531,-0.0401397291668175,0.120530331297578,0.0149288275784185,-0.0282002184972645,-0.141200839529251,0.351703631404909,0.00295968455485093,0.0510626080223619,-0.094665118981908,0.122918993382704,-0.412768525727325,0.0767211063076152,0.0783704822940368,0.0399052103498639,0.27898386158046,0.0305744042755055,0.0386211107439937,-0.0910957467022382,0.318330924198479,0.335120752801893,0.0270230583845946,0.0798036728477386,-0.0108459920121545
"HHADULT",0.0146840343843913,0.0172089861472316,0.00341377183672782,0.00581939811301845,-0.00700486425008871,-0.138920883064792,-0.138920883064792,0.0690834682787028,1,-0.00203279343516392,0.0149381452099713,-0.00106671645842482,-0.00421272023084059,0.010085928487517,0.0177589760300507,0.0207284290898646,-0.0129806432075691,-1.49389986116924e-05,0.000777524557700682,-0.0827616872916148,-0.0044691578546501,0.00850957232209671,0.0226746103798194,0.0338224032350003,-0.0161598156169697,0.0830141533029873,-0.0314818961477461,-0.0326700703759348,0.0155465158841743,0.0340370960554396,-0.00833489929560146,0.0271895557511796,0.0542008522483872,-0.0304061835683486,0.0607350256109239,0.0196314527679275,0.0771145604413715,-0.0017928461579442,0.0274912145104503,-0.00262523837736736,0.0117549713133763,-0.022009798482263,-0.00400372747153167,0.0707426264802714,-0.00759617126751384,0.00409210917040019,0.0416572455443759,0.0275217585920003,0.0372635938996657,0.0254401607522534,0.00776119353768212,0.0383261294438603,0.00922791422891216,-0.0145145602610605,-0.0322658881847722,-0.0478456981846915,0.0387361027709474,0.055952271369193,0.0167597028788963,0.0380266150413428,0.0136693164232451,-0.0292105607534976,-0.017889256583516,-0.00817336928788687,0.0081662479086999,0.0197306796350853,0.0482268027692824,0.0144063810758024,0.00410696259431214,0.0242743298763841,-0.241870350086131,-0.0580337793132064,0.167810833536724,0.0172612253212328,-0.0210430414779869,-0.0141138738925526,0.0201161772514875,-0.0248752719631719,0.0181866377137536,-0.0416265480367066,0.048560382482705,-0.0204326113435341,-0.00946772869828666,-0.055101270614412,0.051477854709355,0.0381278631975806,-0.0553479764014163,-0.0330316606666662,-0.0104555779341986,0.0449734954533447,0.0396194000630402,-0.022766140310271,0.0358839043226808,0.0169087944189401,0.0203474280674302,0.000202267925685535,-0.0207590300424476,0.0316006212503032
"GENHLTH",0.0154771096019632,0.0117208077794327,0.00862463579394583,0.0238365283854341,-0.0150005882374041,-0.0586990585499622,-0.0586990585499622,-0.120747278681734,-0.00203279343516392,1,-0.397046681189226,-0.0583335296683984,-0.0935920874604892,-0.0520407148794063,-0.222530313013297,-0.297172950266296,-0.276972979617585,0.0891132350866836,-0.194826348733243,0.160946881708456,-0.256749806716572,0.0802060991682895,-0.00410949628663445,0.0588203638533463,-0.00872017280688457,-0.158353767862209,0.161055163707855,-0.0610575321346193,-0.210070125215379,-0.183356377052161,-0.0914331226471959,0.183822084868857,0.189531948525325,-0.119615494489741,0.201614697361368,-0.0686971394929628,-0.00708959083256428,-0.0166643700590915,-0.151395796136176,0.00373510752753965,0.0148736701140275,-0.234867150969569,0.0787613278207554,-0.0211288821592032,0.164661480837334,0.0395521891622084,0.0245448985470854,0.04844021751523,0.0341827653449028,-0.00481844416925401,-0.125864560704838,0.0312418942524475,-0.024795690684072,-0.174191062490343,-0.105045123281604,-0.0722592755451599,-0.0404111827084363,-0.00724060948494844,-0.151096105977865,-0.016143964059468,0.0285568934822885,-0.00102714735175814,0.0200592004151712,-0.0836031911030198,-0.0655462129014426,0.0126583824458965,0.0945283096348556,0.0813149667364844,0.0676397794430544,0.0792050043246754,-0.0854243964672247,-0.0211855950001969,0.0173128034169277,-0.0149627908427336,-0.0191884530969856,0.44591091612278,0.00970674385661309,0.123376411933444,-0.0845407876638533,0.273895973244801,-0.121140455698732,0.167060632547034,0.0594415315700514,-0.0395006988106608,0.0496977032275462,0.175189302181792,-0.0901338157105431,0.159818318821895,0.220149499763577,-0.0897630747718097,-0.0502880798613197,0.148391847844549,0.198013560881565,-0.169075429718364,-0.18116624199346,0.0681070732665948,-0.0421916563641569,0.0319300320504217
